#      ID           Name         RA        DEC      X      Y       F_int     F_peak  F_int(fit)  F_pk(fit)  Maj(fit)  Min(fit) P.A.(fit) Maj(fit_deconv.)   Min(fit_deconv.) P.A.(fit_deconv.)      Alpha      Beta  Chisq(fit)  RMS(image)  RMS(fit) Nfree(fit) NDoF(fit) NPix(fit) NPix(obj) Guess?
#      --             --      [deg]      [deg]  [pix]  [pix]        [Jy]  [Jy/beam]        [Jy]  [Jy/beam]  [arcsec]  [arcsec]     [deg]         [arcsec]           [arcsec]             [deg]         --        --          --   [Jy/beam] [Jy/beam]         --        --        --        --     --
       1a J121529-464244 183.871792 -46.711242 1919.0  388.0     0.15264     0.1291      0.1291     0.1291    58.661    43.973    147.38            0.012            0.00055            294.77  -5.865861 -20.13710    999.0000     0.00516     0.000          0         0         0        78      1
       1b J121529-464244 183.880826 -46.697610 1917.0  393.0     0.15264     0.1291      0.0218     0.0218    58.661    43.973    147.38            0.012            0.00055            294.77   1.223772  -0.13692    999.0000     0.00516     0.000          0         0         0        78      1
       2a J121557-450037 183.987820 -45.010316 1917.3 1000.9     0.13569     0.1136      0.1566     0.1171    68.806    50.160    166.85           40.537           15.24053            318.09  -3.117519  -6.41822     30.9322     0.00290     0.622          6        73        80        80      0
       3a J121603-452416 184.012514 -45.404343 1904.9  859.5     0.03790     0.0344      0.0549     0.0356    73.548    54.128    152.41           44.686           31.10638            301.02   0.017563   0.00000      3.2496     0.00239     0.248          6        46        53        53      0
       4a J121605-424249 184.016572 -42.702709 1945.0 1831.0     0.06646     0.0487      0.0487     0.0487    58.661    43.973    147.38            0.012            0.00055            294.77   0.070336   0.00000    999.0000     0.00262     0.000          0         0         0        61      1
       5a J121609-424104 184.024943 -42.676641 1943.2 1840.5     0.01295     0.0284      0.0292     0.0368    66.013    30.951    131.73           33.117            0.00000            272.94   0.030645   0.00000     35.4242     0.00032     1.241          6        10        23        23      0
       5b J121609-424104 184.050559 -42.690713 1936.2 1835.7     0.01295     0.0284      0.0495     0.0207   129.772    47.419     12.28          119.120            0.00000             18.67  -0.049415   0.00000     35.4242     0.00032     1.241          6        10        23        23      0
       6a J121616-423921 184.068481 -42.654255 1932.0 1849.0     0.01976     0.0377      0.0377     0.0377    58.661    43.973    147.38            0.012            0.00055            294.77   0.080897   0.00000    999.0000     0.00128     0.000          0         0         0        26      1
       6b J121616-423921 184.052910 -42.662116 1936.0 1846.0     0.01976     0.0377      0.0077     0.0077    58.661    43.973    147.38            0.012            0.00055            294.77   0.296849   0.00000    999.0000     0.00128     0.000          0         0         0        26      1
       7a J121618-455909 184.075303 -45.985511 1880.2  651.1     0.06335     0.0700      0.0979     0.0695    74.425    48.819    172.77           50.204            5.22298            329.68  -4.564449   0.00000      2.6053     0.00605     0.246          6        36        43        43      0
       8a J121624-423816 184.095835 -42.638409 1925.0 1855.0     0.04430     0.0411      0.0411     0.0411    58.661    43.973    147.38            0.012            0.00055            294.77  -0.095336   0.00000    999.0000     0.00218     0.000          0         0         0        51      1
       9a J121627-423654 184.112151 -42.616653 1921.0 1863.0     0.00793     0.0258      0.0258     0.0258    58.661    43.973    147.38            0.012            0.00055            294.77  -0.199142   0.00000    999.0000     0.00052     0.000          0         0         0        17      1
      10a J121634-455726 184.119454 -45.992329 1869.0  649.1     2.18704     0.3843      0.6402     0.3831    76.028    56.693      3.45           55.526           23.16200            341.56  -5.769331   0.00000   3059.9780     0.00570     2.123          6       636       679       679      0
      10b J121634-455726 184.175529 -45.932065 1855.9  671.4     2.18704     0.3843      0.2978     0.2872    60.208    44.416    158.10           20.341            0.00000            305.98  -5.433442   0.00000   3059.9780     0.00570     2.123          6       636       679       679      0
      10c J121634-455726 184.145174 -45.952732 1863.2  663.7     2.18704     0.3843      0.3769     0.2615    70.516    52.734    151.38           39.422           28.71429            299.51  -6.027675   0.00000   3059.9780     0.00570     2.123          6       636       679       679      0
      10d J121634-455726 184.147137 -45.924771 1863.1  673.7     2.18704     0.3843      0.2347     0.1583    70.188    54.500    157.42           40.435           29.78035            306.12  -5.159789   0.00000   3059.9780     0.00570     2.123          6       636       679       679      0
      10e J121634-455726 184.181060 -45.954230 1854.2  663.5     2.18704     0.3843      0.4816     0.1276   160.799    60.543      1.43          151.361           35.16700            359.34  -5.362232   0.00000   3059.9780     0.00570     2.123          6       636       679       679      0
      10f J121634-455726 184.095344 -45.929131 1876.0  671.6     2.18704     0.3843      0.1998     0.1116    71.411    64.680    163.78           48.975           38.85508            307.06  -6.418504   0.00000   3059.9780     0.00570     2.123          6       636       679       679      0
      10g J121634-455726 184.120048 -45.958027 1869.4  661.5     2.18704     0.3843      0.1320     0.0666   109.468    46.703    179.87           95.014            0.00000            352.29  -5.637604   0.00000   3059.9780     0.00570     2.123          6       636       679       679      0
      11a J121636-423540 184.149158 -42.593542 1911.5 1871.7     0.00827     0.0216      0.0221     0.0224    90.463    28.044    114.01           72.585            0.00000            237.85   0.163091   0.00000     15.5234     0.00105     1.017          6         8        15        15      0
      12a J121636-423716 184.152591 -42.621947 1910.2 1861.5     0.03742     0.0596      0.0648     0.0610    58.859    46.567    114.79           29.821            0.00000            264.94  -0.037064   0.00000      3.6763     0.00611     0.362          6        21        28        28      0
      13a J121636-445210 184.153697 -44.869464 1877.3 1053.4     0.00952     0.0148      0.0265     0.0150    90.001    50.742    163.43           69.367           22.10089            320.15  -0.092277   0.00000      0.2964     0.00210     0.114          6        16        23        23      0
      14a J121637-443652 184.154199 -44.614213 1880.9 1145.2     0.03194     0.0330      0.0505     0.0337    79.685    48.527    158.68           54.755           18.21099            311.22   0.017304   0.00000      0.9978     0.00275     0.151          6        37        44        44      0
      15a J121639-453509 184.165545 -45.585741 1863.6  795.9     0.01029     0.0112      0.0265     0.0112    99.152    61.309    177.74           82.794           36.88474            344.55  -3.741674   0.00000      0.2927     0.00176     0.093          6        27        34        34      0
      16a J121642-423411 184.179143 -42.565829 1904.0 1882.0     0.00324     0.0099      0.0099     0.0099    58.661    43.973    147.38            0.012            0.00055            294.77  -0.417358   0.00000    999.0000     0.00021     0.000          0         0         0        13      1
      17a J121653-442306 184.221268 -44.385094 1867.1 1228.3     0.13453     0.1160      0.1585     0.1205    69.330    48.926    163.72           40.184           14.51914            314.98  -1.029176  -1.04419     29.5596     0.00344     0.632          6        67        74        74      0
      18a J121656-423203 184.237611 -42.531408 1889.0 1895.0     0.03218     0.0465      0.0465     0.0465    58.661    43.973    147.38            0.012            0.00055            294.77   0.034061   0.01645    999.0000     0.00181     0.000          0         0         0        39      1
      18b J121656-423203 184.229052 -42.550631 1891.0 1888.0     0.03218     0.0465      0.0196     0.0196    58.661    43.973    147.38            0.012            0.00055            294.77   0.007862   0.00390    999.0000     0.00181     0.000          0         0         0        39      1
      19a J121703-423048 184.265460 -42.513581 1881.9 1901.7     0.01203     0.0357      0.0196     0.0374    45.897    29.444    137.60            0.000            0.00000            285.94  -0.245515   0.00000      4.6279     0.00180     0.555          6         8        15        15      0
      20a J121716-443611 184.319908 -44.603123 1838.7 1150.9     0.06855     0.0624      0.0821     0.0644    67.106    49.016    152.72           33.244           20.63731            300.99  -2.192934   0.00000     13.4099     0.00201     0.444          6        61        68        68      0
      21a J121722-451123 184.344391 -45.189866 1824.2  940.1     0.05752     0.0542      0.0669     0.0557    64.079    48.349    157.90           29.323           14.46148            306.13  -2.616930   0.00000     13.1284     0.00166     0.433          6        63        70        70      0
      22a J121728-463618 184.370346 -46.604857 1797.7  431.4     0.01028     0.0139      0.0193     0.0144    69.361    49.840    155.83           38.126           21.60070            305.04   0.035068   0.00000      0.1559     0.00167     0.072          6        23        30        30      0
      23a J121732-422633 184.390866 -42.444541 1849.6 1927.8     0.01434     0.0306      0.0347     0.0318    88.535    31.789    116.94           69.675            0.00000            243.77   0.010856   0.00000      1.0736     0.00434     0.238          6        12        19        19      0
      24a J121733-433809 184.389421 -43.636167 1834.0 1499.4     0.05646     0.0443      0.0722     0.0458    81.561    49.815    158.52           57.415           21.50692            311.18   0.005542   0.00000      8.7672     0.00226     0.351          6        64        71        71      0
